# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.17.0
#@/tick	632
#@/user_id	9d0922bb-2196-4703-8ad7-5b1d1981f005
a 	啊	c=3 d=1.31215 t=632
ai guo 	爱过	c=1 d=0.631284 t=632
an 	按	c=1 d=0.418952 t=632
an le 	按了	c=1 d=0.891366 t=632
ba 	吧	c=7 d=3.25399 t=632
ba 	把	c=4 d=1.82535 t=632
ban 	版	c=1 d=0.955997 t=632
bang 	帮	c=1 d=0.778801 t=632
bao fu 	报复	c=1 d=0.802519 t=632
bei 	被	c=2 d=1.17694 t=632
bei fen 	备份	c=1 d=0.951229 t=632
bei zhu 	备注	c=1 d=0.362402 t=632
ben 	本	c=1 d=0.67032 t=632
bi ru 	比如	c=2 d=0.882497 t=632
bi xu yao 	必须要	c=1 d=0.637628 t=632
bi zhi 	壁纸	c=1 d=0.737123 t=632
bu 	部	c=1 d=0.951229 t=632
bu fen 	部分	c=1 d=0.715338 t=632
bu fu he 	不符合	c=1 d=0.453845 t=632
bu fu ze 	不负责	c=1 d=0.722527 t=632
bu jiu 	不久	c=1 d=0.946485 t=632
bu ju 	布局	c=1 d=0.895834 t=632
bu neng 	不能	c=2 d=1.26792 t=632
bu shi 	不是	c=1 d=0.831104 t=632
bu yao 	不要	c=1 d=0.941765 t=632
cai xin 	彩信	c=1 d=0.722527 t=632
cai xing 	才行	c=1 d=0.726149 t=632
cha 	差	c=1 d=0.763379 t=632
cha jian 	插件	c=1 d=0.985112 t=632
cha yue 	查阅	c=2 d=1.26083 t=632
cheng 	城	c=1 d=0.690734 t=632
cheng 	成	c=1 d=0.860708 t=632
cheng gong lv 	成功率	c=1 d=0.759572 t=632
cheng shi 	城市	c=1 d=0.891366 t=632
chong qi 	重启	c=2 d=1.43878 t=632
chu xian 	出现	c=1 d=0.913931 t=632
chuang kou 	窗口	c=3 d=1.88685 t=632
chuang kou o 	窗口哦	c=1 d=0.843665 t=632
ci ku 	词库	c=1 d=0.923116 t=632
cong 	从	c=1 d=0.97531 t=632
da 	打	c=2 d=1.32092 t=632
da bao 	打包	c=1 d=0.951229 t=632
da dao 	达到	c=1 d=0.895834 t=632
da dian hua 	打电话	c=2 d=1.27913 t=632
da dong 	打洞	c=2 d=1.55032 t=632
da lao 	大佬	c=1 d=0.946485 t=632
da zi 	打字	c=0 d=0.0436049 t=632
da zi kuang 	打字框	c=1 d=0.438235 t=632
dai kuan 	带宽	c=1 d=0.683861 t=632
dan ci 	单词	c=1 d=0.429557 t=632
dan shi 	但是	c=1 d=0.621885 t=632
dang qian 	当前	c=3 d=2.55858 t=632
dang qiang 	挡枪	c=2 d=1.35751 t=632
dao 	到	c=6 d=3.60148 t=632
